length,fidelity
10,0.5032842712474619
20,0.4932842712474618
30,0.48121320343559637
40,0.5103553390593274
50,0.49742640687119277
60,0.5082842712474619
70,0.48414213562373093
80,0.46828427124746186
90,0.4970710678118654
100,0.47621320343559637
110,0.48914213562373093
120,0.4799999999999999
130,0.5041421356237309
140,0.48414213562373093
150,0.4691421356237309
160,0.4970710678118654
170,0.4791421356237309
180,0.4862132034355964
190,0.4903553390593273
200,0.4912132034355964
210,0.4803553390593273
220,0.47707106781186537
230,0.47121320343559636
240,0.4970710678118654
250,0.5115685424949237
260,0.4741421356237309
270,0.5053553390593273
280,0.49621320343559633
290,0.4932842712474618
300,0.4932842712474618
310,0.4791421356237309
320,0.49914213562373094
330,0.49914213562373094
340,0.48914213562373093
350,0.48414213562373093
360,0.4791421356237309
370,0.5012132034355964
380,0.5032842712474619
390,0.4799999999999999
400,0.49828427124746183
410,0.49914213562373094
420,0.49621320343559633
430,0.48414213562373093
440,0.47242640687119275
450,0.49499999999999994
460,0.4820710678118654
470,0.4912132034355963
480,0.49499999999999994
490,0.49828427124746183
500,0.4920710678118654
510,0.48999999999999994
520,0.4932842712474618
530,0.4932842712474618
540,0.48914213562373093
550,0.47707106781186537
560,0.49914213562373094
570,0.4820710678118654
580,0.4741421356237309
590,0.4820710678118654
600,0.4791421356237309
610,0.4912132034355964
620,0.4970710678118654
630,0.5157106781186547
640,0.5032842712474619
650,0.4741421356237309
660,0.49414213562373094
670,0.49828427124746183
680,0.5003553390593273
690,0.4962132034355964
700,0.4812132034355963
710,0.4970710678118654
720,0.4912132034355964
730,0.5003553390593273
740,0.5012132034355964
750,0.49914213562373094
760,0.48414213562373093
770,0.4912132034355964
780,0.4612132034355964
790,0.5003553390593273
800,0.5074264068711928
810,0.48414213562373093
820,0.4853553390593273
830,0.4641421356237309
840,0.4920710678118654
850,0.4982842712474618
860,0.5003553390593273
870,0.48914213562373093
880,0.4641421356237309
890,0.5012132034355964
900,0.49414213562373094
910,0.49742640687119277
920,0.4870710678118654
930,0.47707106781186537
940,0.48999999999999994
950,0.5012132034355964
960,0.48914213562373093
970,0.4953553390593274
980,0.4962132034355964
990,0.4970710678118654
1000,0.49828427124746183
